il,yil,tarim,sanayi,hizmetler,sektör toplam,vergi-sübvansiyon,gdp
,2011,     288 634,     540 106,    1 154 748,    1 983 489,     271 292,    2 254 781
,2012,     333 605,     584 445,    1 369 277,    2 287 327,     304 214,    2 591 540
,2013,     280 515,     750 719,    1 547 344,    2 578 577,     364 974,    2 943 551
,2014,     318 166,     850 705,    1 722 878,    2 891 749,     377 864,    3 269 613
,2015,     361 314,     941 263,    1 914 237,    3 216 814,     433 837,    3 650 650
,2016,     330 765,    1 073 673,    2 178 518,    3 582 955,     482 574,    4 065 529
,2017,     361 027,    1 309 108,    2 465 938,    4 136 074,     531 757,    4 667 830
,,,,,,,
Kastamonu,2004,     720 883,     256 423,    1 156 741,    2 134 047,     307 945,    2 441 992
,2005,     670 639,     311 740,    1 306 610,    2 288 989,     332 244,    2 621 233
,2006,     682 149,     385 651,    1 493 737,    2 561 536,     367 290,    2 928 827
,2007,     792 634,     472 976,    1 693 133,    2 958 743,     379 975,    3 338 718
,2008,     862 393,     576 811,    1 918 480,    3 357 684,     413 792,    3 771 477
,2009,     864 600,     573 355,    1 998 878,    3 436 833,     416 969,    3 853 803
,2010,    1 096 493,     718 978,    2 132 268,    3 947 739,     542 294,    4 490 034
,2011,    1 217 132,     953 284,    2 508 593,    4 679 009,     639 971,    5 318 980
,2012,    1 199 325,    1 103 531,    2 859 104,    5 161 960,     686 539,    5 848 499
,2013,    1 125 127,    1 256 582,    3 271 861,    5 653 569,     800 210,    6 453 780
,2014,    1 336 013,    1 485 234,    3 670 080,    6 491 328,     848 221,    7 339 549
,2015,    1 528 308,    1 632 180,    4 047 296,    7 207 784,     972 081,    8 179 864
,2016,    1 539 692,    1 850 520,    4 621 086,    8 011 297,    1 079 010,    9 090 307
,2017,    1 803 495,    2 256 182,    5 298 265,    9 357 941,    1 203 109,    10 561 050
,,,,,,,
Cankiri,2004,     308 818,     167 072,     500 903,     976 793,     140 952,    1 117 745
,2005,     315 684,     208 305,     571 794,    1 095 783,     159 052,    1 254 834
,2006,     291 799,     252 606,     650 510,    1 194 916,     171 335,    1 366 250
,2007,     307 074,     296 020,     738 792,    1 341 887,     172 331,    1 514 218
,2008,     366 026,     355 588,     838 884,    1 560 498,     192 312,    1 752 809
,2009,     417 827,     336 807,     875 238,    1 629 872,     197 742,    1 827 614
,2010,     492 346,     399 327,     944 490,    1 836 162,     252 231,    2 088 393
,2011,     506 696,     544 307,    1 109 946,    2 160 950,     295 564,    2 456 514
,2012,     546 768,     622 478,    1 264 404,    2 433 649,     323 674,    2 757 324
,2013,     639 955,     708 908,    1 453 317,    2 802 180,     396 622,    3 198 802
,2014,     675 102,     853 868,    1 622 769,    3 151 740,     411 837,    3 563 577
,2015,     759 275,     995 069,    1 778 147,    3 532 492,     476 411,    4 008 902
,2016,     805 731,    1 161 890,    2 021 886,    3 989 506,     537 331,    4 526 837
,2017,     790 551,    1 388 975,    2 266 722,    4 446 248,     571 634,    5 017 882
,,,,,,,
Sinop,2004,     273 427,     146 478,     579 533,     999 438,     144 220,    1 143 658
,2005,     278 432,     162 969,     657 308,    1 098 709,     159 476,    1 258 185
,2006,     279 731,     211 126,     753 145,    1 244 002,     178 373,    1 422 376
,2007,     290 042,     245 647,     857 071,    1 392 760,     178 865,    1 571 625
,2008,     322 881,     292 158,     972 611,    1 587 649,     195 658,    1 783 307
,2009,     348 333,     269 778,    1 012 669,    1 630 780,     197 852,    1 828 633
,2010,     489 042,     332 498,    1 087 322,    1 908 862,     262 217,    2 171 080
,2011,     603 623,     361 560,    1 327 190,    2 292 373,     313 539,    2 605 912
,2012,     661 304,     414 352,    1 499 094,    2 574 750,     342 441,    2 917 190
,2013,     636 667,     506 186,    1 744 760,    2 887 613,     408 715,    3 296 328
,2014,     646 495,     569 902,    1 883 339,    3 099 736,     405 042,    3 504 778
,2015,     736 420,     609 046,    2 052 511,    3 397 977,     458 269,    3 856 246
,2016,     825 431,     668 437,    2 332 175,    3 826 044,     515 315,    4 341 359
,2017,     915 033,     766 865,    2 640 727,    4 322 625,     555 741,    4 878 365
,,,,,,,
Samsun,2004,    1 250 484,    1 004 938,    3 897 157,    6 152 579,     887 824,    7 040 403
,2005,    1 453 135,    1 232 427,    4 526 411,    7 211 973,    1 046 810,    8 258 783
,2006,    1 576 068,    1 587 124,    5 319 136,    8 482 328,    1 216 252,    9 698 580
,2007,    1 460 251,    1 837 912,    5 998 740,    9 296 903,    1 193 951,    10 490 854
,2008,    1 873 794,    2 125 357,    6 910 764,    10 909 915,    1 344 510,    12 254 425
,2009,    1 770 653,    2 056 212,    7 021 756,    10 848 621,    1 316 195,    12 164 815
,2010,    2 388 589,    2 519 579,    7 587 025,    12 495 193,    1 716 444,    14 211 637
,2011,    2 491 592,    3 154 691,    8 889 106,    14 535 389,    1 988 078,    16 523 467
,2012,    2 886 331,    3 722 215,    10 182 766,    16 791 312,    2 233 238,    19 024 550
,2013,    2 696 265,    4 433 957,    11 754 973,    18 885 195,    2 673 024,    21 558 219
,2014,    2 983 895,    5 158 552,    13 380 244,    21 522 691,    2 812 367,    24 335 058
,2015,    4 026 437,    5 695 702,    15 022 504,    24 744 642,    3 337 196,    28 081 838
,2016,    3 423 604,    6 416 805,    17 198 941,    27 039 350,    3 641 823,    30 681 173
,2017,    3 924 567,    7 635 525,    19 962 288,    31 522 379,    4 052 692,    35 575 071
,,,,,,,
Tokat,2004,     764 576,     292 700,    1 429 645,    2 486 921,     358 865,    2 845 786
,2005,     833 516,     347 254,    1 621 130,    2 801 900,     406 692,    3 208 592
,2006,     862 640,     424 363,    1 909 182,    3 196 185,     458 290,    3 654 476
,2007,     895 961,     484 970,    2 139 691,    3 520 623,     452 135,    3 972 757
,2008,    1 131 443,     569 687,    2 470 215,    4 171 345,     514 066,    4 685 411
,2009,    1 224 255,     518 875,    2 570 337,    4 313 467,     523 326,    4 836 792
,2010,    1 471 657,     611 845,    2 774 726,    4 858 228,     667 367,    5 525 595
,2011,    1 502 166,     755 775,    3 181 669,    5 439 610,     744 003,    6 183 612
,2012,    1 716 770,     909 805,    3 612 930,    6 239 505,     829 852,    7 069 356
,2013,    1 692 171,    1 075 131,    4 058 435,    6 825 737,     966 119,    7 791 856
,2014,    1 605 045,    1 260 178,    4 592 084,    7 457 307,     974 445,    8 431 753
,2015,    2 292 086,    1 373 668,    5 050 423,    8 716 177,    1 175 511,    9 891 687
,2016,    2 161 453,    1 512 378,    5 757 512,    9 431 342,    1 270 270,    10 701 612
,2017,    2 480 827,    1 786 957,    6 498 592,    10 766 375,    1 384 185,    12 150 560
,,,,,,,
Corum,2004,     845 966,     425 170,    1 462 109,    2 733 245,     394 410,    3 127 655
,2005,     834 962,     525 675,    1 673 425,    3 034 062,     440 391,    3 474 452
,2006,     775 061,     635 826,    1 962 790,    3 373 677,     483 740,    3 857 417
,2007,     818 764,     734 299,    2 172 977,    3 726 040,     478 515,    4 204 555
,2008,    1 069 595,     870 846,    2 504 197,    4 444 638,     547 746,    4 992 384
,2009,    1 134 107,     780 408,    2 552 071,    4 466 585,     541 903,    5 008 488
,2010,    1 565 492,     931 898,    2 728 450,    5 225 840,     717 865,    5 943 705
,2011,    1 673 960,    1 172 827,    3 104 646,    5 951 433,     814 007,    6 765 440
,2012,    1 537 068,    1 353 001,    3 530 053,    6 420 123,     853 874,    7 273 997
,2013,    1 503 781,    1 588 306,    4 024 870,    7 116 957,    1 007 339,    8 124 296
,2014,    1 577 460,    1 787 682,    4 637 699,    8 002 841,    1 045 730,    9 048 571
,2015,    1 898 465,    1 980 936,    5 124 073,    9 003 474,    1 214 257,    10 217 731
,2016,    1 998 422,    2 211 035,    5 807 399,    10 016 856,    1 349 131,    11 365 987
,2017,    2 288 708,    2 659 141,    6 703 293,    11 651 141,    1 497 935,    13 149 077
,,,,,,,
Amasya,2004,     546 943,     225 995,     992 730,    1 765 668,     254 788,    2 020 455
,2005,     633 849,     281 929,    1 123 058,    2 038 835,     295 935,    2 334 770
,2006,     602 452,     348 423,    1 317 141,    2 268 016,     325 203,    2 593 219
,2007,     559 752,     398 317,    1 476 856,    2 434 925,     312 704,    2 747 629
,2008,     768 994,     486 787,    1 691 376,    2 947 156,     363 200,    3 310 356
,2009,     867 224,     461 458,    1 760 137,    3 088 819,     374 747,    3 463 566
,2010,     999 282,     537 104,    1 893 832,    3 430 219,     471 204,    3 901 422
,2011,    1 157 114,     635 675,    2 191 713,    3 984 502,     544 980,    4 529 483
,2012,    1 170 082,     757 955,    2 507 572,    4 435 610,     589 934,    5 025 544
,2013,    1 191 384,     924 356,    2 867 770,    4 983 510,     705 369,    5 688 880
,2014,    1 071 437,    1 073 881,    3 240 694,    5 386 012,     703 789,    6 089 802
,2015,    1 568 451,    1 203 055,    3 575 475,    6 346 981,     855 988,    7 202 969
,2016,    1 500 473,    1 444 005,    4 048 116,    6 992 595,     941 805,    7 934 400
,2017,    1 772 985,    1 706 203,    4 606 156,    8 085 344,    1 039 497,    9 124 840
,,,,,,,
Trabzon,2004,     477 678,     785 739,    2 821 491,    4 084 908,     589 457,    4 674 364
,2005,     654 810,     979 511,    3 268 051,    4 902 371,     711 574,    5 613 945
,2006,     732 173,    1 178 147,    3 856 321,    5 766 642,     826 859,    6 593 501
,2007,     703 211,    1 384 830,    4 362 893,    6 450 935,     828 459,    7 279 394
,2008,     741 949,    1 578 067,    4 982 475,    7 302 491,     899 940,    8 202 432
,2009,     764 231,    1 540 396,    5 202 077,    7 506 705,     910 741,    8 417 446
,2010,     979 575,    1 797 205,    5 846 938,    8 623 719,    1 184 626,    9 808 345
,2011,    1 020 467,    2 268 920,    6 739 042,    10 028 429,    1 371 638,    11 400 067
,2012,    1 074 960,    2 614 902,    7 716 886,    11 406 747,    1 517 093,    12 923 840
,2013,    1 128 187,    3 139 979,    8 680 096,    12 948 263,    1 832 706,    14 780 969
,2014,    1 130 703,    3 874 534,    9 880 539,    14 885 776,    1 945 122,    16 830 898
,2015,    1 661 234,    4 393 741,    10 812 130,    16 867 105,    2 274 789,    19 141 894
,2016,    1 430 165,    5 012 007,    12 128 180,    18 570 352,    2 501 167,    21 071 519
,2017,    1 563 734,    5 862 076,    13 931 530,    21 357 339,    2 745 818,    24 103 158
,,,,,,,
Ordu,2004,     468 230,     521 695,    1 744 029,    2 733 955,     394 513,    3 128 467
,2005,     873 209,     642 215,    2 004 196,    3 519 621,     510 869,    4 030 490
,2006,     909 626,     747 057,    2 389 410,    4 046 093,     580 156,    4 626 248
,2007,     914 659,     864 095,    2 682 040,    4 460 795,     572 876,    5 033 671
,2008,     997 089,     948 785,    3 054 034,    4 999 909,     616 176,    5 616 085
,2009,     767 923,     881 985,    3 243 638,    4 893 547,     593 703,    5 487 250
,2010,     960 582,    1 001 379,    3 595 635,    5 557 596,     763 438,    6 321 034
,2011,     971 990,    1 290 030,    4 109 166,    6 371 186,     871 419,    7 242 605
,2012,    1 218 207,    1 480 133,    4 673 108,    7 371 449,     980 400,    8 351 849
,2013,    1 260 971,    1 766 972,    5 226 942,    8 254 884,    1 168 402,    9 423 286
,2014,    1 174 183,    2 244 133,    5 964 334,    9 382 651,    1 226 030,    10 608 680
,2015,    3 041 750,    2 633 207,    6 659 677,    12 334 633,    1 663 515,    13 998 148
,2016,    1 501 842,    2 937 340,    7 578 153,    12 017 335,    1 618 567,    13 635 903
,2017,    2 273 622,    3 578 511,    8 611 628,    14 463 761,    1 859 541,    16 323 302
,,,,,,,
Giresun,2004,     254 348,     249 842,    1 180 957,    1 685 147,     243 169,    1 928 315
,2005,     514 459,     302 340,    1 375 350,    2 192 148,     318 188,    2 510 336
,2006,     522 356,     363 618,    1 591 575,    2 477 550,     355 247,    2 832 797
,2007,     437 839,     421 866,    1 797 122,    2 656 827,     341 202,    2 998 029
,2008,     681 330,     483 709,    2 025 183,    3 190 221,     393 155,    3 583 376
,2009,     528 686,     453 660,    2 154 706,    3 137 053,     380 599,    3 517 652
,2010,     654 784,     540 331,    2 388 283,    3 583 397,     492 245,    4 075 643
,2011,     679 099,     666 139,    2 717 046,    4 062 285,     555 619,    4 617 904
,2012,     785 065,     776 904,    3 029 609,    4 591 577,     610 678,    5 202 255
,2013,     654 747,     976 195,    3 399 000,    5 029 942,     711 941,    5 741 883
,2014,     523 574,    1 216 284,    3 919 148,    5 659 005,     739 461,    6 398 467
,2015,    1 655 814,    1 368 632,    4 282 853,    7 307 299,     985 502,    8 292 800
,2016,     801 146,    1 562 546,    4 918 457,    7 282 149,     980 804,    8 262 953
,2017,    1 252 888,    1 883 901,    5 551 657,    8 688 446,    1 117 035,    9 805 481
,,,,,,,
Rize,2004,     385 563,     418 162,     943 402,    1 747 127,     252 112,    1 999 239
,2005,     423 778,     531 668,    1 088 371,    2 043 816,     296 658,    2 340 474
,2006,     518 766,     642 364,    1 270 117,    2 431 246,     348 608,    2 779 855
,2007,     516 103,     740 164,    1 441 301,    2 697 569,     346 434,    3 044 003
,2008,     491 914,     885 874,    1 642 314,    3 020 103,     372 190,    3 392 293
,2009,     537 824,     859 388,    1 741 466,    3 138 678,     380 796,    3 519 473
,2010,     733 665,     967 202,    1 950 900,    3 651 767,     501 637,    4 153 404
,2011,     767 685,    1 212 564,    2 265 548,    4 245 797,     580 719,    4 826 516
,2012,     930 343,    1 480 394,    2 594 987,    5 005 724,     665 759,    5 671 483
,2013,     911 748,    1 744 907,    2 945 684,    5 602 339,     792 959,    6 395 298
,2014,    1 063 882,    2 061 728,    3 371 512,    6 497 122,     848 978,    7 346 100
,2015,    1 277 834,    2 263 571,    3 713 456,    7 254 861,     978 430,    8 233 291
,2016,    1 287 357,    2 518 591,    4 196 941,    8 002 889,    1 077 878,    9 080 767
,2017,    1 513 881,    3 083 987,    4 832 525,    9 430 393,    1 212 424,    10 642 817
,,,,,,,
Artvin,2004,     198 098,     235 044,     533 675,     966 818,     139 513,    1 106 331
,2005,     238 867,     285 561,     611 630,    1 136 058,     164 897,    1 300 955
,2006,     276 825,     394 144,     720 006,    1 390 975,     199 447,    1 590 423
,2007,     289 754,     469 020,     806 370,    1 565 144,     201 003,    1 766 146
,2008,     329 151,     576 422,     916 868,    1 822 442,     224 593,    2 047 035
,2009,     307 546,     484 417,     972 355,    1 764 317,     214 053,    1 978 370
,2010,     432 261,     536 644,    1 096 430,    2 065 334,     283 712,    2 349 046
,2011,     423 637,     630 785,    1 267 882,    2 322 304,     317 633,    2 639 938
,2012,     479 797,     681 298,    1 485 910,    2 647 005,     352 051,    2 999 056
,2013,     473 634,     778 354,    1 685 445,    2 937 433,     415 766,    3 353 200
,2014,     482 566,     882 099,    1 933 277,    3 297 942,     430 942,    3 728 884
,2015,     638 655,     941 357,    2 132 521,    3 712 534,     500 692,    4 213 226
,2016,     635 055,    1 007 179,    2 432 105,    4 074 339,     548 757,    4 623 096
,2017,     715 230,    1 311 761,    2 783 163,    4 810 153,     618 420,    5 428 573
,,,,,,,
Gumushane,2004,     192 970,     74 291,     359 827,     627 088,     90 489,     717 577
,2005,     197 231,     100 189,     414 367,     711 787,     103 315,     815 102
,2006,     210 976,     136 877,     480 563,     828 416,     118 784,     947 200
,2007,     227 818,     181 421,     545 754,     954 992,     122 645,    1 077 637
,2008,     229 550,     229 691,     620 873,    1 080 115,     133 111,    1 213 225
,2009,     234 670,     220 605,     660 400,    1 115 675,     135 358,    1 251 033
,2010,     286 731,     267 283,     750 145,    1 304 159,     179 150,    1 483 310
,2011,     326 167,     398 926,     866 030,    1 591 123,     217 626,    1 808 748
,2012,     284 814,     470 862,    1 023 339,    1 779 016,     236 608,    2 015 624
,2013,     285 579,     578 826,    1 173 763,    2 038 168,     288 484,    2 326 652
,2014,     310 153,     635 007,    1 390 775,    2 335 934,     305 236,    2 641 170
,2015,     374 479,     622 264,    1 565 159,    2 561 902,     345 512,    2 907 414
,2016,     351 636,     686 127,    1 743 253,    2 781 016,     374 564,    3 155 580
,2017,     406 717,     876 814,    1 888 658,    3 172 189,     407 834,    3 580 023
,,,,,,,
Erzurum,2004,     753 450,     340 408,    1 945 852,    3 039 710,     438 633,    3 478 344
,2005,     740 461,     395 268,    2 243 915,    3 379 644,     490 551,    3 870 195
,2006,     736 165,     495 367,    2 664 079,    3 895 611,     558 578,    4 454 189
,2007,     754 829,     608 105,    3 030 978,    4 393 911,     564 286,    4 958 198
,2008,     852 655,     739 741,    3 438 348,    5 030 743,     619 976,    5 650 719
,2009,     992 112,     708 378,    3 691 098,    5 391 588,     654 127,    6 045 716
,2010,    1 418 761,     878 651,    4 021 964,    6 319 376,     868 082,    7 187 458
,2011,    1 577 343,    1 087 671,    4 658 065,    7 323 079,    1 001 614,    8 324 693
,2012,    1 609 887,    1 314 257,    5 294 871,    8 219 015,    1 093 126,    9 312 141
,2013,    1 670 661,    1 586 313,    5 984 815,    9 241 789,    1 308 089,    10 549 878
,2014,    1 850 793,    1 798 348,    6 799 081,    10 448 221,    1 365 268,    11 813 489
,2015,    2 161 726,    2 079 503,    7 507 864,    11 749 093,    1 584 546,    13 333 639
,2016,    2 240 491,    2 441 177,    8 634 926,    13 316 595,    1 793 560,    15 110 155
,2017,    2 602 512,    3 049 798,    9 944 412,    15 596 723,    2 005 201,    17 601 924
,,,,,,,
Erzincan,2004,     325 728,     158 932,     748 719,    1 233 379,     177 978,    1 411 357
,2005,     348 311,     193 268,     850 404,    1 391 983,     202 045,    1 594 027
,2006,     345 584,     242 309,    1 027 070,    1 614 963,     231 564,    1 846 527
,2007,     356 208,     321 090,    1 163 867,    1 841 165,     236 451,    2 077 616
,2008,     385 053,     417 639,    1 323 257,    2 125 949,     261 996,    2 387 945
,2009,     444 417,     420 765,    1 389 355,    2 254 537,     273 529,    2 528 066
,2010,     573 719,     567 099,    1 525 667,    2 666 485,     366 291,    3 032 776
,2011,     659 285,     832 545,    1 745 350,    3 237 181,     442 765,    3 679 946
,2012,     675 587,    1 070 668,    2 027 208,    3 773 462,     501 869,    4 275 331
,2013,     631 703,    1 213 730,    2 270 211,    4 115 644,     582 531,    4 698 175
,2014,     639 146,    1 283 177,    2 579 588,    4 501 911,     588 264,    5 090 175
,2015,     734 429,    1 260 626,    2 810 441,    4 805 496,     648 095,    5 453 591
,2016,     791 341,    1 400 975,    3 189 792,    5 382 108,     724 895,    6 107 003
,2017,     851 742,    1 947 168,    3 685 792,    6 484 702,     833 709,    7 318 411
,,,,,,,
Bayburt,2004,     114 799,     18 669,     177 211,     310 679,     44 831,     355 510
,2005,     113 993,     20 961,     204 950,     339 903,     49 337,     389 239
,2006,     117 366,     27 086,     245 411,     389 863,     55 901,     445 764
,2007,     141 485,     33 805,     277 743,     453 033,     58 181,     511 214
,2008,     126 870,     38 894,     312 154,     477 917,     58 897,     536 815
,2009,     153 576,     33 318,     343 394,     530 288,     64 336,     594 624
,2010,     220 199,     42 499,     376 123,     638 822,     87 754,     726 575
,2011,     218 332,     63 435,     435 658,     717 425,     98 126,     815 551
,2012,     305 211,     75 874,     497 511,     878 596,     116 853,     995 449
,2013,     313 648,     98 157,     566 567,     978 372,     138 479,    1 116 852
,2014,     328 665,     111 662,     654 953,    1 095 280,     143 120,    1 238 400
,2015,     405 558,     136 832,     716 403,    1 258 793,     169 768,    1 428 560
,2016,     449 731,     153 929,     840 961,    1 444 621,     194 570,    1 639 191
,2017,     501 131,     186 669,     917 802,    1 605 603,     206 425,    1 812 028
,,,,,,,
Agri,2004,     465 741,     109 789,     693 543,    1 269 072,     183 129,    1 452 201
,2005,     526 170,     135 454,     793 963,    1 455 588,     211 277,    1 666 864
,2006,     454 893,     169 845,     932 126,    1 556 864,     223 233,    1 780 097
,2007,     442 733,     218 118,    1 059 386,    1 720 237,     220 921,    1 941 158
,2008,     426 780,     236 161,    1 195 187,    1 858 128,     228 991,    2 087 119
,2009,     523 383,     220 993,    1 264 062,    2 008 438,     243 671,    2 252 109
,2010,    1 016 463,     286 759,    1 391 894,    2 695 116,     370 224,    3 065 340
,2011,     974 035,     392 342,    1 583 683,    2 950 060,     403 494,    3 353 554
,2012,    1 149 182,     485 254,    1 828 559,    3 462 994,     460 577,    3 923 571
,2013,    1 127 027,     590 814,    2 066 257,    3 784 098,     535 604,    4 319 702
,2014,     965 039,     709 258,    2 455 760,    4 130 057,     539 674,    4 669 731
,2015,    1 163 942,     722 047,    2 780 080,    4 666 069,     629 291,    5 295 361
,2016,    1 292 524,     755 289,    3 292 999,    5 340 813,     719 333,    6 060 146
,2017,    1 513 277,     825 002,    3 743 998,    6 082 277,     781 971,    6 864 248
,,,,,,,
Kars,2004,     401 179,     120 125,     528 539,    1 049 843,     151 494,    1 201 337
,2005,     365 525,     151 752,     613 143,    1 130 420,     164 079,    1 294 499
,2006,     401 378,     177 947,     752 412,    1 331 737,     190 953,    1 522 690
,2007,     418 079,     215 794,     844 537,    1 478 411,     189 864,    1 668 275
,2008,     418 375,     240 445,     955 453,    1 614 273,     198 939,    1 813 212
,2009,     493 411,     233 569,     999 044,    1 726 023,     209 408,    1 935 431
,2010,     733 086,     269 779,    1 085 982,    2 088 847,     286 941,    2 375 788
,2011,     852 846,     319 549,    1 230 199,    2 402 594,     328 615,    2 731 209
,2012,     976 288,     372 669,    1 418 436,    2 767 393,     368 062,    3 135 456
,2013,     839 914,     441 651,    1 612 609,    2 894 174,     409 643,    3 303 817
,2014,     899 460,     482 112,    1 902 747,    3 284 320,     429 162,    3 713 481
,2015,    1 334 225,     513 001,    2 111 489,    3 958 715,     533 894,    4 492 609
,2016,    1 269 266,     571 609,    2 466 698,    4 307 573,     580 170,    4 887 743
,2017,    1 638 607,     709 653,    2 838 952,    5 187 212,     666 897,    5 854 108
,,,,,,,
Igdir,2004,     180 624,     53 275,     425 740,     659 640,     95 187,     754 826
,2005,     236 417,     64 137,     507 272,     807 826,     117 255,     925 081
,2006,     248 257,     98 543,     629 135,     975 935,     139 936,    1 115 871
,2007,     229 580,     110 863,     710 164,    1 050 607,     134 924,    1 185 531
,2008,     267 444,     127 984,     828 044,    1 223 472,     150 778,    1 374 249
,2009,     317 609,     120 984,     825 106,    1 263 700,     153 317,    1 417 017
,2010,     377 142,     127 095,     909 171,    1 413 408,     194 157,    1 607 565
,2011,     445 369,     149 879,    1 030 754,    1 626 003,     222 396,    1 848 399
,2012,     578 259,     176 604,    1 237 167,    1 992 029,     264 939,    2 256 968
,2013,     551 518,     219 046,    1 351 569,    2 122 133,     300 368,    2 422 501
,2014,     578 780,     238 566,    1 505 575,    2 322 920,     303 536,    2 626 456
,2015,     824 347,     272 892,    1 645 377,    2 742 615,     369 884,    3 112 499
,2016,     847 959,     261 507,    1 862 192,    2 971 659,     400 241,    3 371 900
,2017,    1 392 184,     322 796,    2 105 095,    3 820 074,     491 130,    4 311 204
,,,,,,,
Ardahan,2004,     186 558,     27 057,     209 192,     422 807,     61 011,     483 818
,2005,     148 966,     27 231,     239 892,     416 088,     60 395,     476 483
,2006,     200 152,     34 006,     276 988,     511 146,     73 291,     584 437
,2007,     227 889,     42 847,     313 737,     584 473,     75 061,     659 534
,2008,     238 380,     49 391,     351 092,     638 862,     78 732,     717 594
,2009,     256 577,     43 594,     377 653,     677 824,     82 236,     760 061
,2010,     415 137,     54 415,     415 185,     884 736,     121 535,    1 006 271
,2011,     435 317,     69 023,     472 389,     976 729,     133 592,    1 110 322
,2012,     519 044,     87 351,     546 147,    1 152 543,     153 288,    1 305 831
,2013,     410 759,     140 025,     621 251,    1 172 035,     165 891,    1 337 926
,2014,     390 353,     141 113,     720 749,    1 252 216,     163 627,    1 415 843
,2015,     610 401,     144 689,     805 450,    1 560 540,     210 463,    1 771 003
,2016,     642 817,     159 578,     918 588,    1 720 983,     231 792,    1 952 775
,2017,     754 347,     210 194,    1 052 147,    2 016 688,     259 277,    2 275 965
,,,,,,,
Malatya,2004,     446 947,     706 727,    1 864 795,    3 018 469,     435 568,    3 454 037
,2005,     818 017,     834 926,    2 167 400,    3 820 343,     554 518,    4 374 861
,2006,     558 315,     933 405,    2 546 520,    4 038 241,     579 030,    4 617 270
,2007,     592 088,    1 047 674,    2 929 143,    4 568 905,     586 760,    5 155 665
,2008,     681 064,    1 177 921,    3 306 660,    5 165 645,     636 601,    5 802 246
,2009,     734 350,    1 119 956,    3 555 535,    5 409 841,     656 342,    6 066 183
,2010,     835 551,    1 290 135,    3 956 167,    6 081 853,     835 454,    6 917 307
,2011,    1 106 956,    1 685 458,    4 608 081,    7 400 496,    1 012 203,    8 412 698
,2012,    1 056 266,    2 054 804,    5 192 008,    8 303 078,    1 104 306,    9 407 384
,2013,     958 281,    2 467 758,    5 796 958,    9 222 997,    1 305 429,    10 528 427
,2014,     654 908,    3 034 946,    6 613 048,    10 302 901,    1 346 279,    11 649 179
,2015,    1 500 388,    3 284 730,    7 385 952,    12 171 070,    1 641 456,    13 812 526
,2016,    1 483 820,    3 560 521,    8 406 485,    13 450 825,    1 811 639,    15 262 464
,2017,    1 934 374,    4 233 697,    9 493 827,    15 661 898,    2 013 580,    17 675 478
,,,,,,,
Elazig,2004,     349 234,     376 472,    1 639 513,    2 365 220,     341 304,    2 706 523
,2005,     408 867,     499 195,    1 892 622,    2 800 684,     406 516,    3 207 200
,2006,     475 120,     579 912,    2 255 217,    3 310 249,     474 645,    3 784 894
,2007,     497 784,     677 585,    2 627 824,    3 803 193,     488 424,    4 291 616
,2008,     545 585,     858 519,    2 919 693,    4 323 797,     532 854,    4 856 651
,2009,     556 521,     782 139,    3 134 939,    4 473 599,     542 754,    5 016 353
,2010,     721 817,    1 002 240,    3 419 487,    5 143 543,     706 560,    5 850 103
,2011,     849 074,    1 247 522,    3 895 545,    5 992 141,     819 575,    6 811 716
,2012,     937 500,    1 569 726,    4 345 352,    6 852 578,     911 390,    7 763 968
,2013,     864 319,    1 898 363,    4 885 474,    7 648 157,    1 082 525,    8 730 682
,2014,     800 963,    2 187 166,    5 532 198,    8 520 326,    1 113 350,    9 633 676
,2015,    1 066 092,    2 481 498,    6 079 366,    9 626 956,    1 298 343,    10 925 299
,2016,    1 222 833,    2 656 874,    6 837 004,    10 716 711,    1 443 392,    12 160 103
,2017,    1 470 946,    3 259 738,    7 808 754,    12 539 438,    1 612 140,    14 151 577
,,,,,,,
Bingol,2004,     125 429,     110 186,     472 657,     708 271,     102 204,     810 476
,2005,     166 657,     148 698,     541 726,     857 082,     124 404,     981 487
,2006,     148 410,     165 412,     642 623,     956 445,     137 141,    1 093 587
,2007,     183 521,     193 464,     739 023,    1 116 008,     143 323,    1 259 331
,2008,     192 560,     260 366,     828 976,    1 281 901,     157 978,    1 439 880
,2009,     213 813,     216 653,     918 561,    1 349 027,     163 669,    1 512 696
,2010,     290 031,     273 301,    1 035 201,    1 598 532,     219 588,    1 818 120
,2011,     355 514,     370 128,    1 199 003,    1 924 646,     263 243,    2 187 889
,2012,     394 497,     517 280,    1 371 749,    2 283 526,     303 708,    2 587 234
,2013,     436 781,     622 813,    1 556 845,    2 616 439,     370 333,    2 986 772
,2014,     435 290,     787 327,    1 788 644,    3 011 261,     393 481,    3 404 742
,2015,     545 313,     923 544,    1 980 898,    3 449 755,     465 253,    3 915 008
,2016,     516 110,    1 088 560,    2 349 687,    3 954 357,     532 597,    4 486 954
,2017,     662 572,    1 252 850,    2 704 013,    4 619 436,     593 900,    5 213 336
,,,,,,,
Tunceli,2004,     79 220,     59 951,     334 584,     473 755,     68 363,     542 118
,2005,     95 050,     73 945,     373 341,     542 335,     78 719,     621 055
,2006,     101 664,     82 533,     429 139,     613 335,     87 944,     701 279
,2007,     109 489,     97 832,     494 780,     702 102,     90 167,     792 269
,2008,     120 167,     114 256,     551 840,     786 262,     96 897,     883 159
,2009,     137 041,     95 725,     616 311,     849 077,     103 013,     952 091
,2010,     188 432,     109 739,     694 590,     992 761,     136 374,    1 129 135
